"Function Key: TXT = article text; HL = headline; BL = byline; PH = photo caption/information; ME = meta directives outside of an article; NA = unintelligible; NP = nameplate; PI = publication information; B = blank; AT = advertisement text; MH = masthead; BQT = block quote text; BQA = block quote attribution; C = comic strip",,,,,,,
"LINE","PAGE (0 if unintelligable)","ARTICLE NUMBER (use 0 if outside of text of any article/letter)","FUNCTION (see key above)","PARAGRAPH NUMBER (start with the first content paragraph, 0 if not part of the main text)","JUMP (if line contains a ""jump to"" directive, it's the page target. If it's a ""jumped from"" directive then the negative (-) of the soure page. otherwise 0)","AD #. If line is part of advertisement, it is the number of the ad. Start from top left column. 0 otherwise.","SCANNED TEXT"
594,8,0,"PI","0",0,0,"Mustang Daily"
595,8,10,"HL","0",0,0,"STATE"
596,8,0,"AT","0",0,2,"m SKin"
597,8,0,"AT","0",0,2,"Can Sc the best ever!"
598,8,0,"AT","0",0,2,"Oeep Ckansing J^acids"
599,8,0,"AT","0",0,2,"‘ProftssionaiCorrective O^en treatments & (Malcf-up ConsiUtation"
600,8,0,"AT","0",0,2,"544-5729"
601,8,0,"AT","0",0,2,"1601 OsosSteet,SLO"
602,8,0,"AT","0",0,2,"$70.00 value for only $27.00"
603,8,0,"AT","0",0,2,"5orStudents	¡J 5orStudents On^"
604,8,0,"AT","0",0,2,"10%"
605,8,0,"AT","0",0,2,"on a(C Wa?iin£"
606,8,0,"AT","0",0,2,"_ 24£flinSr£U£(iJ)£c._Jl_"
607,8,0,"AT","0",0,2,"20% OJJ"
608,8,0,"AT","0",0,2,"Custom Ptended SHn Care Products & ail cosmetics"
609,8,10,"ME","0",-2,0,"From page 2"
610,8,10,"TXT","3",0,0,"Tom Ottemess for being sexually explicit."
611,8,10,"TXT","4",0,0,"“A lot of jjeople in the arts community are really upset about this,” said Adofo V. Nodal, general manager of the city’s Cultural Affairs Department."
612,8,10,"TXT","5",0,0,"Museum of Contemporary Art Director Richard Koshalek and Associate Director Sherri Geldin issued a joint statement Wednesday denouncing the removal and urging a public hearing of the artist’s views."
613,8,10,"TXT","6",0,0,"An attorney for Otterness, who was in Germany Wednesday at an exhibition, said the artist hopes to work with the government to restore his work."
614,8,10,"TXT","7",0,0,"“Tom was extremely upset and disappointed at the actions taken without any prior notice or respect for his artistic and legal rights,” attorney Henry Welt said."
615,8,10,"TXT","8",0,0,"Roybal sparked the controversy Tuesday when he called the work “an attractive nuisance.” He added that several judges complained about the work."
616,8,10,"TXT","9",0,0,"“It would attract the homeless that come in, perverts, graffiti artists, everything,” he said."
617,8,10,"TXT","12",0,0,"theme includes a battle of the sexes that results in the creation of new life."
618,8,10,"TXT","10",0,0,"One of the jurists who complained most loudly about the artwork was U.S. District Judge Dickran Tevrizian, who in a letter to Roybal called the baby sculpture a “shrine to pedophiles.”"
619,8,10,"TXT","13",0,0,"The sculpture had been installed in the central plaza of the high-rise building, which is scheduled to open next month."
620,0,0,"NA","0",0,0,"/"
621,8,10,"TXT","14",0,0,"Welt said Otterness could decide to sue under the Visual Artists Rights Act of 1990, designed to protect artists from alteration of their work."
622,8,10,"TXT","11",0,0,"The work showed a woman squatting and a baby girl lying on her back, legs open and up, holding a globe. Both show genitals and are typical of Otterness’ nude figures."
623,8,10,"TXT","12",0,0,"The figures were the central element of a $266,000 work called “The New World,” whose"
624,8,10,"TXT","15",0,0,"However, the untested law exempts “works for hire.” It is unclear whether the sculpture would be construed as “work for hire” and whether works commissioned by the federal government are covered by the law."
625,8,10,"TXT","16",0,0,"“But his goal...is to see his work displayed in the public space for which it was created,” Welt said."
626,8,6,"HL","0",0,0,"WORLD"
627,8,0,"AT","0",0,3,"JUICE BAF"
628,8,0,"AT","0",0,3,"fresh fruit Smoothies • fresh Juices • (?)hakes • Yogurt 1108 ftfoad (Street, (San Ijuis Obispo I_	between llipjieni & Marsh"
629,8,6,"ME","0",-2,0,"From page 2"
630,8,6,"TXT","6",0,0,"The survey is published twice a year by the Geneva-based consultant Corporate Resources Group. It is based on a basket (T 151 products including food, clothing, recreation and transportation but not accommodation."
631,8,6,"TXT","7",0,0,"The survey is intended to help international companies and governments determine cost of living differentials paid to employees living abroad. The survey was calculated using mid-September exchange rates and prices."
632,8,6,"TXT","8",0,0,"The Iranian capital Tehran, which had been the most expen-"
633,8,6,"TXT","8",0,0,"sive city for several years, tumbled to 93 with an index of 65, compared to New York. The consultant group said it used the official internal rate of about 1,400 rials for one dollar, compared to 67 rials in last May’s survey."
634,8,6,"TXT","9",0,0,"The Norwegian capital Oslo and the Swedish capital St(x;kh-olm tied for fifth place with a rating of 132 each. Finland’s Helsinki had an index of 129. The Swiss financial center Zurich rated 120 and Copenhagen and Geneva followed at 119."
635,8,6,"TXT","10",0,0,"The survey showed that Asia is becoming more expensive for foreign employees. Taiwan’s capi-"
636,8,6,"TXT","10",0,0,"tal of Taipei had an index of 122, Beijing 113, Seoul 107 and Hong Kong 105. However, Jakarta, Kuala Lumpur, Bangkok, Auckland, Manila and Karachi are all cheaper than New York."
637,8,6,"TXT","11",0,0,"In Latin America, only the Peruvian capital Lima and Argentina’s Buenos Aires are more expensive than New York, with respective indexes of 107 and 104. This is because both countries have high inflation but have not devalued their currencies accordingly, CRG spokesman Carlos Mestre said."
638,8,6,"TXT","12",0,0,"Toronto is the most expensive city in North America, with an index of 102."
639,8,0,"AT","0",0,4,"Back by Popular Demand . .. Just in Time for Christmas Shopping!"
640,8,0,"AT","0",0,4,"FACTORY OUTLET CLOTHING"
641,8,0,"AT","0",0,4,"BLOW-OUT SALE!"
642,8,0,"AT","0",0,4,"APPAREL"
643,8,0,"AT","0",0,4,"DESIGNER"
644,8,0,"AT","0",0,4,"ZONE"
645,0,0,"B","0",0,0,
646,8,0,"AT","0",0,4,"4 DAYS ONLY"
647,8,0,"AT","0",0,4,"Wednesday, Dec. 4th - Saturday 7th"
648,8,0,"AT","0",0,4,"10 am - 7pm"
649,8,0,"AT","0",0,4,"90%"
650,8,0,"AT","0",0,4,"below retail"
651,8,0,"AT","0",0,4,"•tJEANS"
652,8,0,"AT","0",0,4,"•	Tops"
653,8,0,"AT","0",0,4,"•	Shirts"
654,8,0,"AT","0",0,4,"Pants"
655,8,0,"AT","0",0,4,"Sweaters"
656,8,0,"AT","0",0,4,"Sweats"
657,8,0,"AT","0",0,4,"THOUSANDS OF ITEMS FOR MEN AND WOMAN FROM DEPARTMENT AND SPECIALTY"
658,8,0,"AT","0",0,4,"STORES, Manufacturers AND Catalogs."
659,8,0,"AT","0",0,4,"(take"
660,8,0,"AT","0",0,4,"San Luis Veteran's Hall 801 Grand Ave. the Grand Exit Off HWY 101}"
661,0,0,"B","0",0,0,
662,8,0,"AT","0",0,4,"AMERICAN"
663,8,0,"AT","0",0,4,"EXPRESS"
664,9,0,"PI","0",0,0,"MUSTANG Daily"
665,9,0,"PI","0",0,0,"Friday, Decembers, 1991"
666,9,3,"HL","0",0,0,"CRIME"
667,9,3,"ME","0",-1,0,"From page 1"
668,9,3,"TXT","9",0,0,"OfT campus, however, the burglary problem is serious, said Seybold."
669,9,3,"TXT","10",0,0,"“It happens in major student housing complexes like Ramona Drive, Stenner Street, Foothill apartments and throughout the student housing community.”"
670,9,3,"TXT","11",0,0,"If at all possible, Seybold advises, “it is extremely important to take valuables with you."
671,9,3,"TXT","12",0,0,"“If you must leave them behind, lock them up in a closet and at least write down the"
672,9,3,"TXT","12",0,0,"serial numbers. Take pictures of them, and engrave your driver’s license number in them. And then kiss it goodbye.”"
673,9,3,"TXT","13",0,0,"With a California driver’s license number engraved in it, the stolen item cannot be resold, he said."
674,9,3,"TXT","14",0,0,"He also advised students to cover up anything that must be left in a car."
675,9,3,"TXT","15",0,0,"Seybold called compact discs"
676,9,3,"TXT","15",0,0,"the “hottest item” and suggested owners write their license numbers across the front labels of CDs in a thick marker. Other valuables that students should not leave behind are compact disc players, stereos, bicycles, cassettes, car stereos, camera e-quipment and computers."
677,9,3,"TXT","16",0,0,"“During this Christmas season, be real careful. There’s a lot of people out there who make their living ripping you off,” Seybold said."
678,9,4,"HL","0",0,0,"NOISE"
679,9,4,"ME","0",-1,0,"From page 1"
680,9,4,"TXT","10",0,0,"develop cooperation and working relationships with landlords and tenants to bring chronic problems to head,” Gardiner said."
681,9,4,"TXT","11",0,0,"Marquam Piros, ASI Student Neighbor Relations representative, is concerned about how students will react to the amendment."
682,9,4,"TXT","12",0,0,"“We’re going to have to look at this and ask questions from a student perspective,” Piros said. “We’re going to incorporate this into the educational process and tell students this is what the law is, these are your responsibilities, these are your rights. If you violate them, this is what will happen to you."
683,9,4,"TXT","13",0,0,"“It’s also to make sure that the landlords are educating their tenants,” Piros said."
684,9,4,"TXT","14",0,0,"Some students offered their reactions to the proposed proposed noise disturbance amendment."
685,9,4,"TXT","15",0,0,"Pam Bills, biological sciences senior;"
686,9,4,"TXT","16",0,0,"“The judicial system has gone to the university to solve the problems. It couldn’t help. So now they’re going to the landlords. I think the whole thing is ridiculous. WTiy should a complete stranger be responsible and pay the penalty?"
687,9,4,"TXT","17",0,0,"I think it’s all the greeks’ fault. They are the ones who’ve had the major parties and have repetitively broken the noise ordinances. The judges are sick of seeing the same people over and over again. We’ve got a frat house just two blocks from us, and it’s ridiculously noisy. The residents are going to utilize this as a way to get students out of their neighborhoods.”"
688,9,4,"TXT","18",0,0,"Dave Weston, mechanical engineering junior:"
689,9,4,"TXT","19",0,0,"“They (the city) need to treat students as individuals on that basis. They need to deal with students directly and not goii"
690,9,0,"AT","0",0,1,"Happy"
691,9,0,"AT","0",0,1,"Holidays"
692,9,0,"AT","0",0,1,"your"
693,9,0,"AT","0",0,1,"family"
694,9,0,"AT","0",0,1,"from"
695,9,0,"AT","0",0,1,"our"
696,9,0,"AT","0",0,1,"family!"
697,9,0,"AT","0",0,1,"JOailv"
698,9,4,"TXT","19",0,0,"around them. The cops also need to work with the students, instead of treating us as the enemy. But if you’re going to have a party, students should warn their neighbors before it happens.”"
699,9,4,"TXT","20",0,0,"Dan Jacobson, social sciences junior:"
700,9,4,"TXT","21",0,0,"“I think it’s going to cause more discrimination against students by landlords because they’ll be less willing to rent to students. I think it’s fine to"
701,9,4,"TXT","21",0,0,"notify the landlords (about the noise violation), but they shouldn’t make them pay the fine. That should be the students’ responsibility.”"
702,9,4,"TXT","22",0,0,"Gus Pendegraft, natural resource management senior:"
703,9,4,"TXT","23",0,0,"“I think it’s unfair for absentee landlords, those that live out of town, because they can’t really come down and monitor the tenants. The landlord shouldn’t take responsibility for the actions of his tenants.”"
704,9,0,"AT","0",0,2,"TAKE A"
705,9,0,"AT","0",0,2,"STUDY DREAK"
706,9,0,"AT","0",0,2,"WOODSTOCK'S PIZZA"
707,9,0,"AT","0",0,2,"FLYIN' FREE DELIVERY"
708,9,0,"AT","0",0,2,"I One coupon per pizza"
709,9,0,"AT","0",0,2,"MUSTAN<5 PAILY COUPONS"
710,9,0,"AT","0",0,2,"Expires 12/20/91"
711,9,0,"AT","0",0,2,"I» 1 z.	/V"
712,9,0,"AT","0",0,2,"TWO D0LLAR6 OFF AND TWO FREE SOFT DRINKS WITH THE PURCHASE OF ANY LARGE PIZZA"
713,9,0,"AT","0",0,2,"additional toppings extra"
714,9,0,"AT","0",0,2,"100(D Hi^uera 5t. 5L0"
715,9,0,"AT","0",0,2,"541-4420"
716,9,0,"AT","0",0,2,"One coupon per	DAILY"
717,9,0,"AT","0",0,2,"pizza	• "" '''’Fi-im: iei.vx.i.i.i;i;i*i.i.i.biiMie.i;iaiiM.-,>Mx.i;e>xii>/i.u.i;i.M..Mx:ve.. ,v. e., ,, J"
718,9,0,"AT","0",0,2,"TWO SMALL CHEESE PIZZAS"
719,9,0,"AT","0",0,2,"ONLY"
720,9,0,"AT","0",0,2,"$9.99"
721,9,0,"AT","0",0,2,"1000 Hi^ucra 5t. 5L0	541-4420"
722,9,0,"AT","0",0,2,"1» I 3K X W"
723,9,0,"AT","0",0,3,"EL CORRAL BOOKSTORE’S"
724,9,0,"AT","0",0,3,"'faJ/cf)tldr9r>s"
725,9,0,"AT","0",0,3,"ac1ivit>r •houf'"
726,9,0,"AT","0",0,3,"SATURDAY, DECEMBER 7 10am-11am"
727,9,0,"AT","0",0,3,"isXMi	VITY; i"
728,9,0,"AT","0",0,3,"DR. SEUSS TRIBUTE"
729,9,0,"AT","0",0,3,"VARIOUS ACTIVITIES"
730,9,0,"AT","0",0,3,"This will be the last Children's Activity Hour for the quarter. The bookstore will be open at 10am this Saturday."
731,9,0,"AT","0",0,3,"December 9th-13th SAVE 20% on"
732,9,0,"AT","0",0,3,"ri/- I any children's book"
733,9,0,"AT","0",0,3,"u^rrai ¡n stock"
734,9,0,"AT","0",0,3,"UUOIsSlDfSl	NO COUPON NECESSARY"
735,9,0,"AT","0",0,4,"SCHOLARSHIPS"
736,9,0,"AT","0",0,4,"Study at a university in a country of your choice for one academic year 1993-94"
737,9,0,"AT","0",0,4,"S.L.O. Rotary Club"
738,9,0,"AT","0",0,4,"is now taking applications for gratliiate/iindergraduatc students and Joiirnalisin, vocational, tcaclicrs of the handicapped"
739,9,0,"AT","0",0,4,"Valued at:"
740,9,0,"AT","0",0,4,"$15,000.00 to 20,000.00"
741,9,0,"AT","0",0,4,"C'oiiiaci:"
742,9,0,"AT","0",0,4,"•	IM:. McNamara - .^90 1 liiiiicra S.I..O.	543-777,S"
743,9,0,"AT","0",0,4,"•	Lee Balaui	""	544-0224"
744,9,0,"AT","0",0,4,"•WesWiiieii	54I-47S2"
745,9,0,"AT","0",0,5,"NEXT WEEK ONLY"
746,9,0,"AT","0",0,5,".] lUi"
747,9,0,"B","0",0,0,
748,9,0,"AT","0",0,5,"14K gold regularly $50 off, now $100 off. 1QK gold regularly $25 off, now $50 off"
749,9,0,"AT","0",0,5,"JOSTENS"
750,9,0,"AT","0",0,5,"EIG>rral"
751,9,0,"AT","0",0,5,"Bcx)kstDre"
752,9,0,"AT","0",0,5,"December 12-14 9AM-4PM"
753,10,0,"AT","0",0,1,"Want to cut your holiday food bill?"
754,10,0,"PI","0",0,0,"Friday, December 6, 1991"
755,10,0,"PI","0",0,0,"Mustang Daily"
756,0,0,"B","0",0,0,
757,10,0,"AT","0",0,1,"Take advantage of the tremendous savings on all our quality food items at AMK Cash & Cany!"
758,10,0,"AT","0",0,1,"We feature the finest midwestern grain-fed beef and cut it to your specification in our own U.S.D.A. plant. You will also find gourmet sausage, cheeses, prepared chicken, geese, pork, and specialty desserts,along with an additional 4,COD items. Ask about our FamilyPaks!"
759,10,0,"AT","0",0,1,"Bring this ad with you when you visit our storej and receive 10c OFF PER LB. on all our quality meats and 10% OFF"
760,10,0,"AT","0",0,1,"all of our other fine products."
761,10,0,"AT","0",0,1,"Not valid with spedal otters. Expires 12-21-91"
762,10,0,"AT","0",0,1,"320 CAPITOLIO WAY • SAN LUIS OBISPO • 544-0975"
763,0,0,"B","0",0,0,
764,10,0,"AT","0",0,1,"AMK"
765,10,0,"AT","0",0,1,"CASH & CARRY"
766,10,0,"AT","0",0,1,"TUESDAY - SATURDAY ___1Q:3Q Ail.fi:3QPM"
767,10,0,"AT","0",0,1,"o"
768,0,0,"B","0",0,0,
769,10,0,"AT","0",0,2,"EIG>rial ="
770,10,0,"AT","0",0,2,"IBookstore'’"
771,10,0,"AT","0",0,3,"K Bear, Nissan, American Airlines, arnl VISA announce"
772,10,0,"AT","0",0,3,"MIUEirS"
773,10,0,"AT","0",0,3,"•i,"
774,0,0,"B","0",0,0,
775,0,0,"B","0",0,0,
776,0,0,"B","0",0,0,
777,10,0,"AT","0",0,3,"Warren Miller Is Ski Bum Numero Uno...a combination Jean-Claude Killy, Robert Redford, Ingmar Bergman and Woody Allen."" -L.A. Time*"
778,10,0,"AT","0",0,3,"At last! Warren is back in SLO!"
779,10,0,"AT","0",0,3,"Fri & Sat • Dec 6&7 »7 & 9 pm Cal Poly Theater"
780,10,0,"AT","0",0,3,"SAVE $1,001 Advance Oiacoont Tlckel» a Copeland •, Mountain Ait, A Cal Poly SW Club Table"
781,10,0,"AT","0",0,3,". ...	Col Poly"
782,10,0,"AT","0",0,3,"nmmk rit 6W oub"
783,10,25,"HL","0",0,0,"Monitoring the monarchs"
784,10,25,"HL","0",0,0,"Biology students, professors study butterfly behavior"
785,10,25,"BL","0",0,,"By Mark Maiden"
786,10,25,"BL","0",0,0,"Staff Writer____"
787,10,25,"TXT","1",0,0,"This time of year, the bright clusters of monarch butterflies adorning eucalyptus boughs south of Pismo Beach look more like like huge clumps of orange leaves than collections of insects."
788,10,25,"TXT","2",0,0,"Wliile the butterflies hang in filtered sunlight, members of Cal Poly’s biological sciences department conduct studies that may help scientists understand more about the migration and habits of the delicate travelers, some of whom have flown in from as far away as Canada."
789,10,25,"TXT","3",0,0,"“This is our own research project,” said Kingston Leong, an instructor in the biological sciences department. “Initially we started with the state parks; now we’re doing it on our own just to unravel things. It’s like a puzzle — the more we unravel, the moi'e we find out.”"
790,10,25,"TXT","4",0,0,"Leong said that each fall monarchs fi’om east of the Rocky Mountains head south toward central Mexico. “That is the main population, close to five or six million.”"
791,10,25,"TXT","5",0,0,"Butterflies native to the western side of the Rockies head toward California, nesting just"
792,10,8,"HL","0",0,0,"NATION"
793,10,8,"ME","0",-2,0,"Froni page 2"
794,10,8,"TXT","4",0,0,"But she seemed more concerned about Pan Am workers than her own predicament."
795,10,8,"TXT","5",0,0,"“I feel bad. 1 really feel bad,” she said. “I’m originally from India, and we always flew Pan Am. It’s been in this country for so long. It’s like history.”"
796,10,8,"TXT","6",0,0,"The shutdown stranded thousands of passengers around the country, including 100 people removed from a flight to the Dominican Republic just before takeoff from New York’s Kennedy Airport."
797,10,8,"TXT","7",0,0,"Several airlines said they would honor Pan Am tickets. But finding comparable flights during the busy holiday season is going to be difficult for many, said John Lindsey, a Pan A.m vice president."
798,10,8,"TXT","8",0,0,"“Obviously,” he said, “it’s going to be tight.”"
799,10,8,"TXT","9",0,0,"“We’re all in shock,” he added. “It’s very, very tough for a 64-year-old airline and all the people who have gone through this.”"
800,10,8,"TXT","10",0,0,"M.any employees left jobless"
801,10,25,"TXT","5",0,0,"north of San Francisco and down tlie coast as far south as BajiT California, Leong said."
802,10,25,"TXT","6",0,0,"“The theory is that they tend to escape the (weather) extremes of the central states,” Leong said."
803,10,25,"TXT","7",0,0,"“Certain areas, I think, are like a funnel due to wind pat-"
804,10,25,"TXT","7",0,0,"terns or whatever. It is my theory that when they hit the coast they tend to look for areas to cluster.”"
805,10,25,"TXT","8",12,0,"Leong said the butterflies tend to gather in little groves, and this is one of the heaviest See Bl.T l KRFLIKS, page 12"
806,10,8,"TXT","10",0,0,"were transferring to Miami from other cities as part of an plan to transfoiTn the cairier into a smaller airline ftK’using on Latin America. That plan fell apart on Tuesday."
807,10,8,"TXT","11",0,0,"Pilot Terry Barnes got the news when he radioed from the air for tlie gate numbers of connecting flights. He was told there wouldn’t be any connecting flights."
808,10,8,"TXT","12",0,0,"Harry Tomisaka, a 23-year fleet service veteran from San Francisco, walked into work Wednesday — payday — and found he no longer had a job. “We came up to work and they just told us we couldn’t go in,” he said."
809,10,8,"TXT","13",0,0,"Pan Am became the third U.S. airline to die this year, after Eastern and Midway, amid deep industrywide troubles brought on by the Gulf War and the recession. Pan Am bookings also were crippled by the 1988 terrorist bombing of Hight 103 over Scotland."
810,10,8,"TXT","14",0,0,"The death blow came on Tuesday in U.S. Bankruptcy Court"
811,10,8,"TXT","14",0,0,"when Delhi Air Lines cut off financing to keep Pan Am in the air. Delta said it did not believe Pan Am’s business plan would work at a time when losses were about $2 million a day and b(K>k-ings were plunging."
812,10,8,"TXT","15",0,0,"Luz Rodriguez of Puerto Rico, a retired Pan Am office worker, had taken a break from chemotherapy treatment for a trip to Orlando when the end came for Pan Am."
813,10,8,"TXT","16",0,0,"“I said, Tm going to go for a ride before I die.’ And look what happened,” she said. She and her husband arrived at Miami Airport on one of the airline’s last flights. The couple continued their trip on American Airlines and got there less than three hours late."
814,10,8,"TXT","17",0,0,"Pan Am was founded in 1927 and inaugurated the first scheduled international flight — a mail run between Key West, Fla., and Havana, Cuba — the first scheduled trans-Pacific service (1935), and the first scheduled trans-Atlantic service (1939)."
815,10,0,"AT","0",0,4,"two localions"
816,10,0,"AT","0",0,4,"DFCADES"
817,10,0,"AT","0",0,4,"O /\\\^"
818,10,0,"AT","0",0,4,"tail/ ( '(‘//( ( tiihhri"
819,10,0,"AT","0",0,4,"907 Chorro 1130 Morro"
820,10,0,"AT","0",0,4,"Wide selection of classic clothing"
821,10,0,"AT","0",0,4,"for"
822,10,0,"AT","0",0,4,"women and men"
823,10,0,"AT","0",0,4,"w"
824,10,0,"AT","0",0,4,"csi^	Ties. Suits, Hawaiian Shins	ifi, ,"
825,10,0,"AT","0",0,4,"f'.; Now Canying, Doc Manen's Shoes and Nana Shoes 'K"
826,10,0,"AT","0",0,4,"12-5pm MoncUiy-Sunday	W"
827,10,0,"AT","0",0,4,"^	We buy used 5)1 Levis	-if- u"
828,10,0,"AT","0",0,4,"546-0901.546-0301"
829,10,0,"AT","0",0,4,"Gicsta Qnyon Lodge ^"
830,10,0,"AT","0",0,5,"SAN lUIS O HISPO"
831,10,0,"AT","0",0,5,"offers"
832,10,0,"AT","0",0,5,"Special Rates For Parents"
833,10,0,"AT","0",0,5,"•	Close to Cal"
834,10,0,"AT","0",0,5,"•	Complimentary Continental"
835,10,0,"AT","0",0,5,"Bree^fast"
836,10,0,"AT","0",0,5,"•	Restaurant / Lounge"
837,10,0,"AT","0",0,5,"•	Meeting Facility"
838,10,0,"AT","0",0,5,"idOOMonterayStieet (609)544-0500 (800)822-8601"
839,11,0,"PI","0",0,0,"MUSTANG Daily"
840,11,0,"PI","0",0,0,"Friday, December 6. 1991"
841,11,0,"PI","0",0,0,"1 1"
842,11,11,"HL","0",0,0,"FOOD"
843,11,11,"ME","0",-2,0,"From page 2"
844,11,11,"TXT","12",0,0,"tradition during the holiday season, however, it is very high in calories and fat. Here is a recipe for this holiday favorite with one-tenth of the fat as the traditional drink."
845,11,11,"TXT","13",0,0,"Low-fat Eggnog"
846,11,11,"TXT","14",0,0,"1	1/2 cups sugar"
847,11,11,"TXT","15",0,0,"1/4 cup all-purpose flour 1/8 teaspoon salt 4 large eggs"
848,11,11,"TXT","16",0,0,"2	egg whites"
849,11,11,"TXT","17",0,0,"8 cups skim milk, scalded 2 teasp>oons vanilla extract 1/8 teaspoon nutmeg 1/2 - 1 cup whiskey (optional)"
850,11,11,"TXT","18",0,0,"Whisk together sugar, flour and salt in a heavy saucepan. Add eggs and egg whites. Whisk until smooth. Gradually whisk in milk. Cook over low heat, stirring with a wooden spoon for 15 minutes or until thick enough to coat the spoon. Immediately remove from heat and strain."
851,11,0,"AT","0",0,1,"■S THIS HOW"
852,11,0,"AT","0",0,1,"TOUR MECHAHIC SIGNS HIS WORK"
853,11,0,"AT","0",0,1,"If the mechanic who services your car is careless in the places you can see, just think what he might have done in the places you can't."
854,11,0,"AT","0",0,1,"At German Auto we provide the conscientious, expert service your high performance car needs for trouble-free driving."
855,11,0,"AT","0",0,1,"So choose German Auto. We've been signing our work with customer satisfaction since 1970. Call us today for an appointment"
856,11,0,"AT","0",0,1,"Trust German Auto"
857,11,0,"AT","0",0,1,"Specializing in Porsche. Audi,"
858,11,0,"AT","0",0,1,"273 Pacific Street, San Luis Obispo 543-7473"
859,11,11,"TXT","19",0,0,"Cover and refrigerate at least 2 hours or overnight. Before serving, stir in vanilla, nutmeg and whiskey. If desired, pour 2 cups eggnog and 2 ice cubes into a blender. Blend until frothy. Repeat. Serve immediately. Serves 12."
860,11,11,"TXT","20",0,0,"Nutrition educators are available for consultation and dietary analysis. Call the Health Center for more information."
861,11,0,"AT","0",0,2,"EK Actives"
862,11,0,"AT","0",0,2,"Get Fired Up For The Piedge - Active Party!! Countdown Starts Now... (see you next year)"
863,11,0,"AT","0",0,3,"r"
864,11,0,"AT","0",0,3,"B.B.Q. RIBS"
865,11,0,"AT","0",0,3,"FANTASTIC SALAD BAR (Over 70 Items)"
866,11,0,"AT","0",0,3,"HOMEMADE SOUPS & BREADS"
867,11,0,"AT","0",0,3,"Lunch 11:00 - 2:30 Dinner 5:00 •Steaks • Seafood • Chicken • Sandwiches • Giant Stuffed Potatoes Bring in student ID and receive a $1.(X) oft"
868,11,0,"AT","0",0,3,"^970 Higuera Street, SLO, 544-6193"
869,11,0,"OT","0",0,0,"Campus Cfubs"
870,11,0,"OT","0",0,0,"*POLO MATCH!*"
871,11,0,"OT","0",0,0,"12/7 11:30 CAL POLY HORSE UNIT"
872,11,0,"OT","0",0,0,"ALPHA ZETA"
873,11,0,"OT","0",0,0,"Christmas Dinner 12/7 at Mr. McCorkie's.Dir. in AZ Info"
874,11,0,"OT","0",0,0,"ARCE & CM!!"
875,11,0,"OT","0",0,0,"SEOAC & ASCM MEMBERS' BUY YOUR TICKETS FOR THE 2ND ANNUAL ENGINEERING & CONSTRUCTION FORUM DINNER FOR ONLY $9 ON 12/4 10AM-2PM IN BLDG.21 EW122A HURRY THEY GO FAST!"
876,11,0,"OT","0",0,0,"SWE"
877,11,0,"OT","0",0,0,"RESUME BOOK OPEN TO ALL STUDENTS 1-14-92 DEADLINE QUESTIONS? 756-2350"
878,11,0,"OT","0",0,0,"Announoemoiite"
879,11,0,"OT","0",0,0,"*POLY PHASE*"
880,11,0,"OT","0",0,0,"•TAKE-IN TWRF 10-3 FINALS*"
881,11,0,"OT","0",0,0,"1/900/4464SKI"
882,11,0,"OT","0",0,0,"99M 10% OF CALL TO US SKI TM"
883,11,0,"OT","0",0,0,"ALPHA CRISIS PREGNANCY CENTER 24-HR LIFELINE 541-3367 FREE PREGNANCY TEST ■A FRIEND FOR LIFE"""
884,11,0,"OT","0",0,0,"CASH for COMICS S GAMING ITEMS (or Trade Credit) New Comics Friday-New games weekly! The SUB COMICS GAMES & POSTERS 785 Marsh St SLO 541-3735"
885,11,0,"OT","0",0,0,"Creek News"
886,0,0,"NA","0",0,0,"s S'.	•>.»	*"
887,11,0,"OT","0",0,0,"Congrats AO"
888,11,0,"OT","0",0,0,"#1 \7olleyball"
889,11,0,"OT","0",0,0,"CHAMPIONSm___"
890,11,0,"OT","0",0,0,"The ladles of ZETA TAU ALPHA thank the men of KAPPA SIGMA for a successful couch-a-thon"
891,11,0,"OT","0",0,0,"Greek News"
892,11,0,"OT","0",0,0,"Congratulations!"
893,11,0,"OT","0",0,0,"To Erik Tobiason and Alpha Phi Karan Polder For Their Recent Pinning."
894,11,0,"OT","0",0,0,"From"
895,11,0,"OT","0",0,0,"The Brothers of Lambda Chi"
896,11,0,"OT","0",0,0,"“Thanks to all who participated IN AXn'S chili COOK-OFF! CONGRATS TO 1ST ArP,2ND eX,3RD BWIL4TH AOri,5TH TKE.and 6THKAe"
897,11,0,"OT","0",0,0,"TO THE SIGMA CHI PLEDGE CLASS,"
898,11,0,"OT","0",0,0,"THANKS FOR ALL YOUR HELP WITH PEOPLE'S KITCHEN!"
899,11,0,"OT","0",0,0,"THE NUTRITION CLUB"
900,11,0,"OT","0",0,0,"We're so proud of our"
901,11,0,"OT","0",0,0,"AO Soccer Studs!"
902,11,0,"OT","0",0,0,"I^nterteinment"
903,11,0,"OT","0",0,0,"CHEAP THRILLS & RECYCLED RECORDS pays the MOST Cash for used CDs, tapes, LPs and video games. Lowest prices and highest trade-ins. CHEAP THRILLS 783 Marsh St 544-0686"
904,11,0,"OT","0",0,0,"I need 4 Grad Tickets Call Juan @ 546-8053"
905,11,0,"OT","0",0,0,"I need grad tickets for 9:30 ceremony please call Chris 541-2236"
906,11,0,"OT","0",0,0,"WANTEDI!"
907,11,0,"OT","0",0,0,"2PM GRAD TICKETS - WILL PAYS Please Call Ruth 542-0829"
