"Function Key: TXT = article text; HL = headline; BL = byline; PH = photo caption/information; ME = meta directives outside of an article; NA = unintelligible; NP = nameplate; PI = publication information; B = blank; AT = advertisement text; MH = masthead; BQT = block quote text; BQA = block quote attribution",,,,,,,
"LINE","PAGE (0 if unintelligable)","ARTICLE NUMBER (use 0 if outside of text of any article/letter)","FUNCTXTION (see key above)","PARAGRAPH NUMBER (start with the first content paragraph, 0 if not part of the main text)","JUMP (if line contains a ""jump to"" directive, it's the page target. If it's a ""jumped from"" directive then the negative (-) of the soure page. otherwise 0)","AD #. If line is part of advertisement, it is the number of the ad. Start from top left column. 0 otherwise.","SCANNED TEXT"
514,7,0,"PI","0",0,0,"MUSTANG DAILY"
515,7,0,"PI","0",0,0,"Monday, May 11, 1992"
516,7,2,"HL","0",0,0,"PROTEST"
517,7,2,"ME","0",-1,0,"From page 1"
518,7,2,"TXT","4",0,0,"education because of the cutbacks/ • she said."
519,7,2,"TXT","5",0,0,"In her speech, Clinton explained how education has suffered because of the lack of funding for resources in addition to the increased amount of money allocated for non-educational services."
520,7,2,"TXT","6",0,0,"“What Bill proposes doing is increasing that federal share (for education), back to what it was in 1980,” she said."
521,7,2,"TXT","7",0,0,"Little did Clinton know these words of educational reform were broadcast over an audio system setup by a Cal Poly engineering technology student."
522,7,2,"TXT","8",0,0,"Senior Jason Bradley, an employee of Cal Central Lighting and Sound, had arrived early Friday morning to prepare for the breakfast."
523,7,2,"TXT","9",0,0,"“I brought in a bunch of equipment and then set it up,” Bradley said. “It’s great irony.”"
524,7,2,"TXT","10",0,0,"Inside the restaurant, honking car horns could be heard sporadically throughout the breakfast."
525,7,2,"TXT","11",0,0,"John Luna, president of the American Society of Engineering Technologists and an ET senior, was pleased with the student support he has seen."
526,7,2,"TXT","12",0,0,"“Every honk they (the administrators attending the breakfast) heard is an audible voice from us that says, Tley keep us in mind ... We are going to be a thorn in your side.’” Luna said."
527,7,2,"TXT","13",0,0,"Close to 40 demonstrators lined the sidewalk to see Clinton on her way out."
528,7,2,"TXT","14",0,0,"As she left, Clinton stopped briefly to speak with the demonstrators again and was given two T-shirts."
529,7,2,"TXT","15",0,0,"Initially, Luna approached Clinton and presented her with an ET T-shirt. Then home economics major Kimberly McIn-"
530,7,2,"TXT","15",0,0,"tyre spoke briefly with Clinton and handed her a home ec T-shirt."
531,7,2,"TXT","16",0,0,"Clinton responded to the students with gratitude and stressed the need for active voting to make a change."
532,7,2,"TXT","17",0,0,"“It is just so important, not just for individual students but for a country, that we put education first and I hope that we can do that, but we cannot do it if people do not vote,” she said."
533,7,2,"TXT","18",0,0,"During the breakfast, three ET majors sat inside, waiting for a chance to question Clinton on her husband’s educational goals."
534,7,2,"TXT","19",0,0,"“Being that their campaign platform includes education ... we came today to voice our concerns about the changing education in the state of California,” said Gregory Thompson, an ET senior sitting inside the restaurant."
535,7,2,"TXT","20",0,0,"But unfortunately, there wasn’t enough time."
536,7,2,"TXT","21",0,0,"Moria Riorday, a graduating senior in ET, was able to speak with Clinton and presented her with an ET packet."
537,7,2,"TXT","22",0,0,"It contained a personal letter, an ET fact sheet, a memo from the ET department head to Vice President for Academic Affairs Robert Koob outlining other options, a memo from the Engineering Council and clips from Mustang Daily."
538,7,2,"TXT","23",0,0,"ASI President-elect Kristin Burnett was in attendance and complimented the ET and home ec students on an organized and effective showing."
539,7,2,"TXT","24",0,0,"“I think that it (the demonstration) is both respectful and wise of them, because they are keeping it at the forefront of everybody’s attention,” she said."
540,7,2,"TXT","25",0,0,"Neill Clark, a member of the ET faculty, was on hand to watch his students in action."
541,7,2,"TXT","26",0,0,"“We’ve been demonstrating"
542,7,2,"TXT","26",0,0,"very vociferously,” he said. “Many of my students signed on this quarter to learn about electronics, but it turns out they are learning, I think, some far more important lessons.”"
543,7,13,"HL","0",0,0,"WRITERS"
544,7,13,"ME","0",-3,0,"From page 3"
545,7,13,"TXT","10",0,0,"This month’s meeting will be held May 11 at the San Luis Obispo County Library at 7 p.m."
546,7,13,"TXT","11",0,0,"Arianna Huffington, a published writer and wife of congressional candidate Michael Huffington, will be the guest speaker."
547,7,13,"TXT","12",0,0,"Those interested in entering the contest may send a self-addressed stamped envelope to Writer’s Contest, do Lynette Hamel, 2324 Black Walnut Road, San Luis Obispo, 93405."
548,7,0,"SH","0",0,0,"CiassifieD"
549,0,0,"NA","0",0,0,"h"
550,0,0,"B","0",0,0,
551,7,0,"OT","0",0,0,"**AMA**"
552,7,0,"OT","0",0,0,"GUEST SPEAKER"
553,7,0,"OT","0",0,0,"CARLTON WAGNER DIR. OF WAGNER INSTITUTE OF COLOR RESEARCH TUESDAY-MAY 11"
554,7,0,"OT","0",0,0,"MEETINGS START 11AM IN ARCH 225"
555,7,0,"OT","0",0,0,".-vC"
556,7,0,"OT","0",0,0,"ASI"
557,7,0,"OT","0",0,0,"EXEC STAFF"
558,7,0,"OT","0",0,0,"APPLICATIONS ARE NOW AVAILABLE IN UU217A. APPLY TO BE A PART OF THIS DYNAMIC LEADERSHIP TEAM! DEADLINE IS 5/14."
559,7,0,"OT","0",0,0,"GIVE LIFE GIVE BLOOD"
560,7,0,"OT","0",0,0,"Tuesday, May 12,1992 9am to 2pm Student Health Center"
561,7,0,"OT","0",0,0,"GMAT GRE LSAT TEST PREP!"
562,7,0,"OT","0",0,0,"CALL THE PRINCETON REVIEW ANY TIME AT 99&0176 IN CAYUCOS."
563,7,0,"OT","0",0,0,"MUSTANG DAILY CLASSIFIEDS"
564,7,0,"OT","0",0,0,"HAS A CONVENIENT DROP BOX LOCATED AT THE U.U. INFO DESK. THE ADS WILL BE PICKED UP EACH ________DAY AT 10AM____"
565,7,0,"OT","0",0,0,"Myth and RHual"
566,7,0,"OT","0",0,0,"The Stone Circle"
567,7,0,"OT","0",0,0,"SOPHISTICATED PUPPET ARTISTRY 8 pm May 14-16 Cal Poly Theatre Call 756-1421 for Tlx"
568,7,0,"OT","0",0,0,"RECYCLE MUSTANG DAILY"
569,7,0,"OT","0",0,0,"AT ANY OF OUR SIX CONVENIENT LOCATIONS; KENNEDY LIBRARY. AG BRIDGE (BLDG 10) CAMPUS STORE. THE CELLAR, THE UNIVERSITY UNION, FISHER SCIENCE. MUSTANG DAILY..."
570,7,0,"OT","0",0,0,"ONCE AGAIN LEADING THE WAY"
571,7,0,"OT","0",0,0,"Carri«"
572,7,0,"OT","0",0,0,"Your Naw Zata Family Lovaa You!"
573,7,0,"OT","0",0,0,"‘Will. 1"
574,7,0,"OT","0",0,0,"ORDER OF OMEGA"
575,7,0,"OT","0",0,0,"MEETING TUES AT 9:00PM U.U. STUDENT LIFE & ACTIVITIES ACTIVE PINS ARE IN & SOCIAL CALENDAR READY. BE THERE!"
576,7,0,"OT","0",0,0,"Panneiienic"
577,7,0,"OT","0",0,0,"Would like to wish everyone good luck in GREEK WEEKI"
578,7,0,"OT","0",0,0,"WHT BELL MOTO-4 MTRCYCL HELMET"
579,7,0,"OT","0",0,0,"REWARD"
580,7,0,"OT","0",0,0,"$30. NO QUESTIONS ASKED MARK 544-5797"
581,7,0,"OT","0",0,0,"ALPHA CRISIS PREGNANCY CENTER 24 HOUR LIFELINE 541-3367 FREE PREGNANCY TESTING •A FRIEND FOR LIFE"""
582,7,0,"OT","0",0,0,"PROBLEM PAPER? WRITING TUTOR CAN HELP. REAS. RATES. 549-774«"
583,7,0,"OT","0",0,0,"jislilgL"
584,7,0,"OT","0",0,0,"LOW-RATE LOCAL WORD-PROCESSING GREAT FOfJTSI CALL MARY 481-5143"
585,7,0,"OT","0",0,0,"R&R WORD PROCESSING fRONA), LASER PRTR.M-F 9AM-5PM ^-2591"
586,7,0,"OT","0",0,0,"Resumes, Sr. Projects, Etc. Mac w/ Laser Printer. Laura - 549-8966"
587,7,0,"OT","0",0,0,"i T f*"
588,7,0,"OT","0",0,0,"SUMMER IN EUROPE FROM $269"
589,7,0,"OT","0",0,0,"each way on discounted scheduled airlines to Europe from LOS ANGELES. Call (800) 325-2026."
590,7,0,"OT","0",0,0,"Enitployment"
591,7,0,"OT","0",0,0,"$4ÒT)0Ò/YRÌ READ BOOKS"
592,7,0,"OT","0",0,0,"and TV Saipts. Fill out simple ""like/don't like"" form. EASYlFun, relaxing at home, beach .vacations Guaranteed paycheck.FREE 24 Hour Recording Reveals Details."
593,7,0,"OT","0",0,0,"801 -379-2925 Copyright #CA20KEB"
594,7,0,"OT","0",0,0,"SALES REPS WANTED"
595,7,0,"OT","0",0,0,"Secure a iob for fall quarter Mustang Dally Advertising"
596,7,0,"OT","0",0,0,"is looking for dedicated"
597,7,0,"OT","0",0,0,"individuals who want to gain experience and earn $$$"
598,7,0,"OT","0",0,0,"If intsrsstsd call Lee 75^1143"
599,7,0,"OT","0",0,0,"SUMMER JOBS!"
600,7,0,"OT","0",0,0,"Fine High Sierra Family Resort seeks llve-4n counselors (20-up) to TEACH: Western Riding(2), Adult Crafts & Jewelry, Sailing, Archery,"
601,7,0,"OT","0",0,0,"Folk Guitar & Singing, Waterskiing(2), Swimmir>g-Canoeing, Adult Tennis, CIT Director/"
602,7,0,"OT","0",0,0,"Experienced Teacher. 800-227-9966"
603,7,0,"OT","0",0,0,"TEACHER-TODDLER, ALLAN COLLEGE FT TO BEGIN AUGUST 1992. REQUIRES CHILDREN’S CENTER PERMIT. FOR DETAILS CALL 805-922-6966 EXT 3338 OR WRITE TO PERSONNEL SERVICES 800 S COLLEGE DR SANTA MARIA"
604,7,0,"OT","0",0,0,"WANTED 100 PEOPLE We will pay you to lose 10-29 lbs in 30 days. ALL NATURAL (805)655-5637"
605,7,0,"OT","0",0,0,"SURFBOARD 4 SALE 6'3"" THRUSTER LEASH & BOARD BAG INCLUDED. GOOD CONDITION NEAR NEW $195 CALL BILL 541-1567"
606,7,0,"OT","0",0,0,"WATER BED"
607,7,0,"OT","0",0,0,"SUPER SINGLE W/ HEATER FABRIC COVERED FRAME AND HOOK-UP KIT $150.00 OBO call 542-0593"
608,7,0,"OT","0",0,0,"*V.NVASSVi1.*.'"
609,7,0,"OT","0",0,0,"83 HONDA CM250 FOR SALE NEW TIRES, LOW MILES, $650 OBO MUST SELL! CALL BRET 772-0245"
610,7,0,"OT","0",0,0,"250mo own rm close campus avail 6or7-92 cal! 549-8419 CJ"
611,7,0,"OT","0",0,0,"ASAP!! MALE NEEDED TO SHARE ROOM IN LARGE HOUSE OFF JOHNSON. $216 A MONTH, PLEASE CALL 545-8092"
612,7,0,"OT","0",0,0,"Available for Summer 2 rooms in Pine Creek Condo Also 1 Summer/Fal! available Cal! Dan @ 408-629-9916"
613,7,0,"OT","0",0,0,"I qu"
614,7,0,"OT","0",0,0,"complex.Start Summer or Fall. Was/bry.Hot tub.Fireplace.Near Poly .$210/m Shirley 541-9519"
615,7,0,"OT","0",0,0,"LARGE Room available in nicely furnished 2 story condo w/ wsh/ dry/dsh/hot tub $350/mo 543-9091"
616,7,0,"OT","0",0,0,"Roomate wanted for summer $300 prefer male call 545-8926"
617,7,0,"OT","0",0,0,"3Bed-2KBath LUXURY CONDO-YARD-415 No. Chorro-1yr. lease starting July 1st-$1200/mo. 543-8370."
618,7,0,"OT","0",0,0,"4 Bedroom Near Poly, Deck, BBQ 4-5 Students OK, $1150 4- Sec."
619,7,0,"OT","0",0,0,"Call After 6pm 541 -8496"
620,7,0,"OT","0",0,0,"CLASSIFIED RENTALS DONT WADE THROUGH THOSE ""FOR RENT’ ADS. lOOf LISTINGS FOR SLO BY TYPE/LOCAL $19 549-8421"
621,7,0,"OT","0",0,0,"STUDENTS"
622,7,0,"OT","0",0,0,"Applications now accepted for 92-93 School yr 190 CALIF BLVD FOOTHILL HACIENDA APTS (under new mgmt) 2Bd2Ba frnshd Ibik to POLY lOMo LEASE 800@mo CALL ALEX at 545-8078"
623,7,0,"OT","0",0,0,"SUMMER SUBLET JUNE 15 - SEPT 5 OWN FURN. RM. IN QUIET. CLEAN 3 RM. HOUSE $300/mo. 541-4274"
624,7,0,"OT","0",0,0,"The Creek Apts 722 Boysen"
625,7,0,"OT","0",0,0,"2BDlBAFum. 543-9119 WALK TO POLY 12-mo Lease $600mo. (Jul-Aug) $400mo."
626,7,0,"OT","0",0,0,"Average $567mo."
627,7,0,"OT","0",0,0,"LUXURY 1 BED CONDO NEXT TO CAMPUS,$99,900 STEVE NELSON FARELL SMYTH R/E 543-8370"
628,7,0,"OT","0",0,0,"0 BEST PRICED CONDOS & HOMES LISTED FREE SPECIALIZING IN STUDENT/PARENT INVESTMENTS. INFORMATION PACKET AVAILABLE ON CAMPUS CALL MARGUERITE 541-3432 CENTURY 21-OBISPO"
629,7,0,"OT","0",0,0,"0 BUYING A HOUSE OR CONDO? FOR A FREE LIST OF ALL LEAST EXPENSIVE HOUSES 4 CONDOS FOR SALE IN SLO.CALL STEVE NELSON 543-837aFARRELL SMYTH R/E"
630,7,0,"OT","0",0,0,"5% DOWN"
631,7,0,"OT","0",0,0,"4 BDR,2 BATH.MISSION ST. LIVE IN 1 BDR.RENT OTHERS $215,000 541-8191"
632,0,0,"B","0",0,0,
633,7,0,"CT","0",0,0,"AS r, TUE MAWACAL T'iRAHT, LOOK DOWN UPoM (A'( PATUETIC SU&iECTS,,.."
634,7,0,"CT","0",0,0,"„ I reflect oh UO'M TUDR"
635,7,0,"CT","0",0,0,"PUW lwes HEAH uotvuhg"
636,7,0,"CT","0",0,0,"TO HE E)(CE?T AS TUE BRUTE LABOR HECESSART TO EXECUTE M'f N\AD DESIGNS.' MS LUNATTC WMS ARE TUE\R IMS! UAUAUA,'"
637,7,0,"CT","0",0,0,"BEING A PARENT MUST BE NICE."
638,7,0,"CT","0",0,0,"\"
639,7,0,"CT","0",0,0,"Mi."
640,0,0,"B","0",0,0,
641,0,0,"NA","0",0,0,"iNB9Kr«"
642,7,0,"AT","0",0,1,"THIS SPACE RESERVED FOR YOUR AD"
643,7,0,"AT","0",0,1,"ADVERTISE IN THE"
644,7,0,"AT","0",0,1,"MUSTANG DAILY"
645,8,0,"PI","0",0,0,"Mustang Daily"
646,8,1,"HL","0",0,0,"CLINTON"
647,8,1,"TXT","9",-1,0,"From page 1 growth.”"
648,8,1,"TXT","10",0,0,"Another essential issue Clinton said her husband shows eagerness to take on is health care, an issue he would pay immediate attention to should he be elected."
649,8,1,"TXT","11",0,0,"His plans for improving health care include steps such as controlling costs, reforming insurance practices and providing better access for primary and preventive health care."
650,8,1,"TXT","12",0,0,"“We are so penny-wise and dollar-foolish when it comes to our health care system in this country,” Clinton said."
651,8,1,"TXT","13",0,0,"Clinton said prenatal care, which costs up to $1,000, should be given to every American woman. This would save from having to pay as much as"
652,8,0,"AT","0",0,1,"SEEHG"
653,8,1,"TXT","13",0,0,"$150,000 to keep babies alive that were bom to women who went without prenatal care."
654,8,1,"TXT","14",0,0,"In concluding the overview of her husband’s platform, she noted two issues that apply specifically to California."
655,8,1,"TXT","15",0,0,"She told the audience that her husband wants everyone to view economic development and environmental protection as mutual support goals, not competing goals."
656,8,1,"TXT","16",0,0,"Energy conservation was the other issue which she said she feels is important to this state. Natural gas should be used more, and more research should be conducted to find new methods of using fuel."
657,8,1,"TXT","17",0,0,"She then told the audience she hopes that those who support this campaign support Clinton"
658,8,1,"TXT","17",0,0,"for the reasons he is in this race."
659,8,1,"TXT","18",0,0,"“I think what America needs now is a leader who will say to all of us, Tes, we’ve got some"
660,8,1,"TXT","18",0,0,"rough times in front of us,’ ” Clinton said. “An-yone who watched the television last week knows v/e have deep and profound problems, but -you"
661,8,1,"TXT","18",0,0,"know, we have a real opportunity as well. That opportunity is to demonstrate that we’re not only problem-solvers, but we are builders. We are people who want to build a new vision."
662,8,1,"TXT","19",0,0,"“Ultimately, what we have to do is reach across the cynicism, the negativism and the despair that people in all walks of life are feeling in America today."
663,8,1,"TXT","20",0,0,"“We have to get people to believe again that we can make a difference. If we carry that message, there is no doubt in my mind, we will not only have a new president, we will have a new beginning that can give"
664,8,1,"TXT","20",0,0,"America some of its greatest days it has ever had,” she said before receiving a standing ovation."
665,8,1,"TXT","21",0,0,"• Clinton said she would have told students the same thing as she told the fund-raiser audience if time would have allowed for her to address the students. “I think the message of economic hope and employment and education opportunity is a message not just for young people,” Clinton said in between shaking hands after her speech. “It is a message for all Americans.”"
666,8,1,"TXT","22",0,0,"Robert Koob, vice president of Academic Affairs, said Cal Poly was fortunate to have Clinton on campus because it will bring attention to the campus and the community, and it shows they count. Koob said he attended the fund-raiser to show general support for the election process, and to try and represent the university in national politics."
667,8,1,"TXT","23",0,0,"Kristin Burnett, ASI president-elect, also attended the fund-raiser."
668,8,1,"TXT","24",0,0,"“This is an excellent"
669,8,1,"TXT","24",0,0,"opportunity to share with students my perception of what a presidential campaign looks like,” she said."
670,8,1,"TXT","25",0,0,"Burnett hopes Clinton will take student ideas back to Arkansas."
671,8,1,"TXT","26",0,0,"Bill Clinton is governor of Arkansas. Immediately after her speech, Hillary Clinton was rushed off so she could keep on her schedule. Prom San Luis Obispo she went to South Central Los Angeles and spoke to community leaders. From L.A. she went to Sacramento, and from Sacramento she went to San Francisco in a single day."
672,8,1,"TXT","27",0,0,"Alec Kohut, a member of Young Democrats at Cal Poly, said the students should not feel snubbed by Clinton because she did not speak with them."
673,8,1,"TXT","28",0,0,"“I am into politics, and I understand her schedule,” Kohut said. “You don’t see Barbara Bush coming near SLO. At least it’s on (Clinton’s) mind.”"
674,8,0,"AT","0",0,1,"SAVEGREEK"
675,8,0,"AT","0",0,1,"...wHh this $5.00 off coupon."
676,8,0,"AT","0",0,1,"Call SLO CountyTraffic School before your Insurance company calls you and makes your checkbook see red."
677,0,0,"B","0",0,0,
678,0,0,"NA","0",0,0,"<"
679,0,0,"NA","0",0,0,"^ I ^"
680,8,0,"AT","0",0,1,"^ SLO COUNTY > VTRAFFIC SCHOOL V I"
681,0,0,"B","0",0,0,
682,8,0,"AT","0",0,1,"Call: 805.543.6922 tor an appointment"
683,8,0,"AT","0",0,1,"Not County Sportsored"
684,8,0,"AT","0",0,1,"$590	coupon"
685,8,0,"AT","0",0,2,"For All Your Graduation Needs"
686,8,0,"AT","0",0,2,"Cap and GoNvns • Diploma Orders • Anrxxjncements • TViank You Notes •"
687,8,0,"AT","0",0,2,"GitidCenler"
688,8,0,"AT","0",0,2,"Oj3en7:45AM-4:30PM"
689,8,0,"AT","0",0,2,"MordaythmFriday"
690,8,0,"AT","0",0,2,"EiG>nal^i^BoobtDre"
691,8,0,"AT","0",0,3,"$1.00 Off Your Next Feix!"
692,8,0,"AT","0",0,3,"Present this coupon and receive $1.00 off your next fax transmission or reception. One coupon per customer. Not valid with other offers. Expires 5/30/92."
693,8,0,"AT","0",0,3,"kinko's"
694,8,0,"AT","0",0,3,"the copy center"
695,0,0,"NA","0",0,0,"Ì"
696,8,0,"AT","0",0,3,"Open 24 Hours!"
697,8,0,"AT","0",0,3,"543-0771"
698,8,0,"AT","0",0,3,"973 Foothill"
699,8,0,"AT","0",0,3,"Open 7 Days!"
700,8,0,"AT","0",0,3,"543-3363"
701,8,0,"AT","0",0,3,"894 Montery"
702,0,0,"NA","0",0,0,"I"
703,8,0,"AT","0",0,4,"J"
704,8,0,"AT","0",0,4,"O"
705,0,0,"B","0",0,0,
706,8,0,"AT","0",0,4,"Mustang Daily is now accepting applications and resumes for various positions."
707,8,0,"AT","0",0,5,"Mustang Daily Sports; For all the action"
708,8,0,"AT","0",0,6,"Plus a chance to"
709,8,0,"AT","0",0,6,"WIN"
710,8,0,"AT","0",0,6,"The Soufxjtrack to"
711,8,0,"AT","0",0,6,"Wayne’s World"
712,8,0,"AT","0",0,6,"With Special Thanks"
713,8,0,"AT","0",0,6,"to"
714,8,0,"AT","0",0,6,"Today May 11,1992"
715,8,0,"AT","0",0,6,"7:00 p.m./9:30 p.m. Chumash $3"
716,8,0,"AT","0",0,6,"This may also be used as a $ 2 coupon oft any regular priced CO or Cassette, at your local SLO Wherehouse Not valid with any other offer Offer good until Dec. 31,1992"
717,8,0,"AT","0",0,6,"JFK COMING MAY 19th & 20th"
718,,,,,,,
719,,,,,,,
720,,,,,,,
721,,,,,,,
722,,,,,,,
723,,,,,,,
724,,,,,,,
725,,,,,,,
726,,,,,,,
727,,,,,,,
728,,,,,,,
729,,,,,,,
730,,,,,,,
731,,,,,,,
732,,,,,,,
733,,,,,,,
734,,,,,,,
735,,,,,,,
736,,,,,,,
737,,,,,,,
738,,,,,,,
739,,,,,,,
740,,,,,,,
741,,,,,,,
742,,,,,,,
743,,,,,,,
744,,,,,,,
745,,,,,,,
746,,,,,,,
747,,,,,,,
748,,,,,,,
749,,,,,,,
750,,,,,,,
751,,,,,,,
752,,,,,,,
753,,,,,,,
754,,,,,,,
755,,,,,,,
756,,,,,,,
757,,,,,,,
758,,,,,,,
759,,,,,,,
760,,,,,,,
761,,,,,,,
762,,,,,,,
763,,,,,,,
764,,,,,,,
765,,,,,,,
766,,,,,,,
767,,,,,,,
768,,,,,,,
769,,,,,,,
770,,,,,,,
771,,,,,,,
772,,,,,,,
773,,,,,,,
774,,,,,,,
775,,,,,,,
776,,,,,,,
777,,,,,,,
778,,,,,,,
779,,,,,,,
780,,,,,,,
781,,,,,,,
782,,,,,,,
783,,,,,,,
784,,,,,,,
785,,,,,,,
786,,,,,,,
787,,,,,,,
788,,,,,,,
789,,,,,,,
790,,,,,,,
791,,,,,,,
792,,,,,,,
793,,,,,,,
794,,,,,,,
795,,,,,,,
796,,,,,,,
797,,,,,,,
798,,,,,,,
799,,,,,,,
800,,,,,,,
801,,,,,,,
802,,,,,,,
803,,,,,,,
804,,,,,,,
805,,,,,,,
806,,,,,,,
807,,,,,,,
808,,,,,,,
809,,,,,,,
810,,,,,,,
811,,,,,,,
812,,,,,,,
813,,,,,,,
814,,,,,,,
815,,,,,,,
816,,,,,,,
817,,,,,,,
818,,,,,,,
819,,,,,,,
820,,,,,,,
821,,,,,,,
822,,,,,,,
823,,,,,,,
824,,,,,,,
825,,,,,,,
826,,,,,,,
827,,,,,,,
828,,,,,,,
829,,,,,,,
830,,,,,,,
831,,,,,,,
832,,,,,,,
833,,,,,,,
834,,,,,,,
835,,,,,,,
836,,,,,,,
837,,,,,,,
838,,,,,,,
839,,,,,,,
840,,,,,,,
841,,,,,,,
842,,,,,,,
843,,,,,,,
844,,,,,,,
845,,,,,,,
846,,,,,,,
847,,,,,,,
848,,,,,,,
849,,,,,,,
850,,,,,,,
851,,,,,,,
852,,,,,,,
853,,,,,,,
854,,,,,,,
855,,,,,,,
856,,,,,,,
857,,,,,,,
858,,,,,,,
859,,,,,,,
860,,,,,,,
861,,,,,,,
862,,,,,,,
863,,,,,,,
864,,,,,,,
865,,,,,,,
866,,,,,,,
867,,,,,,,
868,,,,,,,
869,,,,,,,
870,,,,,,,
871,,,,,,,
872,,,,,,,
873,,,,,,,
874,,,,,,,
875,,,,,,,
876,,,,,,,
877,,,,,,,
878,,,,,,,
879,,,,,,,
880,,,,,,,
881,,,,,,,
882,,,,,,,
883,,,,,,,
884,,,,,,,
885,,,,,,,
886,,,,,,,
887,,,,,,,
888,,,,,,,
889,,,,,,,
890,,,,,,,
891,,,,,,,
892,,,,,,,
893,,,,,,,
894,,,,,,,
895,,,,,,,
896,,,,,,,
897,,,,,,,
898,,,,,,,
899,,,,,,,
900,,,,,,,
901,,,,,,,
902,,,,,,,
903,,,,,,,
904,,,,,,,
905,,,,,,,
906,,,,,,,
907,,,,,,,
908,,,,,,,
909,,,,,,,
910,,,,,,,
911,,,,,,,
912,,,,,,,
913,,,,,,,
914,,,,,,,
915,,,,,,,
916,,,,,,,
917,,,,,,,
918,,,,,,,
919,,,,,,,
920,,,,,,,
921,,,,,,,
922,,,,,,,
923,,,,,,,
924,,,,,,,
925,,,,,,,
926,,,,,,,
927,,,,,,,
928,,,,,,,
929,,,,,,,
930,,,,,,,
931,,,,,,,
932,,,,,,,
933,,,,,,,
934,,,,,,,
935,,,,,,,
936,,,,,,,
937,,,,,,,
938,,,,,,,
939,,,,,,,
940,,,,,,,
941,,,,,,,
942,,,,,,,
943,,,,,,,
944,,,,,,,
945,,,,,,,
946,,,,,,,
947,,,,,,,
948,,,,,,,
949,,,,,,,
950,,,,,,,
951,,,,,,,
952,,,,,,,
953,,,,,,,
954,,,,,,,
955,,,,,,,
956,,,,,,,
957,,,,,,,
958,,,,,,,
959,,,,,,,
960,,,,,,,
961,,,,,,,
962,,,,,,,
963,,,,,,,
964,,,,,,,
965,,,,,,,
966,,,,,,,
967,,,,,,,
968,,,,,,,
969,,,,,,,
970,,,,,,,
971,,,,,,,
972,,,,,,,
973,,,,,,,
974,,,,,,,
975,,,,,,,
976,,,,,,,
977,,,,,,,
978,,,,,,,
979,,,,,,,
980,,,,,,,
981,,,,,,,
982,,,,,,,
983,,,,,,,
984,,,,,,,
985,,,,,,,
986,,,,,,,
987,,,,,,,
988,,,,,,,
989,,,,,,,
990,,,,,,,
991,,,,,,,
992,,,,,,,
993,,,,,,,
994,,,,,,,
995,,,,,,,
996,,,,,,,
997,,,,,,,
998,,,,,,,
999,,,,,,,
1000,,,,,,,
1001,,,,,,,
1002,,,,,,,
1003,,,,,,,
1004,,,,,,,
1005,,,,,,,
1006,,,,,,,
1007,,,,,,,
1008,,,,,,,
1009,,,,,,,
1010,,,,,,,
1011,,,,,,,
1012,,,,,,,
1013,,,,,,,
1014,,,,,,,
1015,,,,,,,
1016,,,,,,,
1017,,,,,,,
1018,,,,,,,
1019,,,,,,,
1020,,,,,,,
1021,,,,,,,
1022,,,,,,,
1023,,,,,,,
1024,,,,,,,
1025,,,,,,,
1026,,,,,,,
1027,,,,,,,
1028,,,,,,,
1029,,,,,,,
1030,,,,,,,
1031,,,,,,,
1032,,,,,,,
1033,,,,,,,
1034,,,,,,,
1035,,,,,,,
1036,,,,,,,
1037,,,,,,,
1038,,,,,,,
1039,,,,,,,
1040,,,,,,,
1041,,,,,,,
1042,,,,,,,
1043,,,,,,,
1044,,,,,,,
1045,,,,,,,
1046,,,,,,,
1047,,,,,,,
1048,,,,,,,
1049,,,,,,,
1050,,,,,,,
1051,,,,,,,
1052,,,,,,,
1053,,,,,,,
1054,,,,,,,
1055,,,,,,,
1056,,,,,,,
1057,,,,,,,
1058,,,,,,,
1059,,,,,,,
1060,,,,,,,
1061,,,,,,,
1062,,,,,,,
1063,,,,,,,
1064,,,,,,,
1065,,,,,,,
1066,,,,,,,
1067,,,,,,,
1068,,,,,,,
1069,,,,,,,
1070,,,,,,,
1071,,,,,,,
1072,,,,,,,
1073,,,,,,,
1074,,,,,,,
1075,,,,,,,
1076,,,,,,,
1077,,,,,,,
1078,,,,,,,
1079,,,,,,,
1080,,,,,,,
1081,,,,,,,
1082,,,,,,,
1083,,,,,,,
1084,,,,,,,
1085,,,,,,,
1086,,,,,,,
1087,,,,,,,
1088,,,,,,,
1089,,,,,,,
1090,,,,,,,
1091,,,,,,,
1092,,,,,,,
1093,,,,,,,
1094,,,,,,,
1095,,,,,,,
1096,,,,,,,
1097,,,,,,,
1098,,,,,,,
1099,,,,,,,
1100,,,,,,,
1101,,,,,,,
1102,,,,,,,
1103,,,,,,,
1104,,,,,,,
1105,,,,,,,
1106,,,,,,,
1107,,,,,,,
1108,,,,,,,
1109,,,,,,,
1110,,,,,,,
1111,,,,,,,
1112,,,,,,,
1113,,,,,,,
1114,,,,,,,
1115,,,,,,,
1116,,,,,,,
1117,,,,,,,
1118,,,,,,,
1119,,,,,,,
1120,,,,,,,
1121,,,,,,,
1122,,,,,,,
1123,,,,,,,
1124,,,,,,,
1125,,,,,,,
1126,,,,,,,
1127,,,,,,,
1128,,,,,,,
1129,,,,,,,
1130,,,,,,,
1131,,,,,,,
1132,,,,,,,
1133,,,,,,,
1134,,,,,,,
1135,,,,,,,
