"Function Key: TXT = article text; HL = headline; BL = byline; PH = photo caption/information; ME = meta directives outside of an article; NA = unintelligible; NP = nameplate; PI = publication information; B = blank; AT = advertisement text; MH = masthead; BQT = block quote text; BQN = name in a block quote; CN = comic strip title; CT = comic strip text",,,,,,,
"LINE","PAGE (0 if unintelligable)","ARTICLE NUMBER (use 0 if outside of text of any article/letter)","FUNCTION (see key above)","PARAGRAPH NUMBER (start with the first content paragraph, 0 if not part of the main text)","JUMP (if line contains a ""jump to"" directive, it's the page target. If it's a ""jumped from"" directive then the negative (-) of the soure page. otherwise 0)","ADVERTISEMENT NUMBER","SCANNED TEXT"
528,7,17,"TXT",4,0,0,"Cal Poly has three athletes ranked No. 1, according to a recent Divi-, sion II poll. Kraemer is the favorite in the 1500, with an entry time of 4:26.8, with teammate Amy Harper ranked third (4:33.0). Karin Smith is the leading contender in the javelin, while Dubois, only a sophomore, is first in the heptathlon (4847 points)."
529,7,17,"TXT",5,0,0,"Only the top six finishers in each event score team points, and earn All-American status. Winners, who have surpassed the Division I standards, are riigible to advance to the higher level of competition. Liz Stangio in the 5000 and 10,(X)0 meters, Oowley in the 5,000 meters. Smith and Sue McNeal in the high jump have already bettered the entry time."
530,7,0,"AT",0,0,5,"SUMMER STORAGE PROBLEMS?"
531,7,0,"AT",0,0,5,"Ask about our Mini-Vaults DENNIS TRANSFER 2885 So. Higuera 543-3434"
532,7,0,"AT",0,0,6,"Gold Margarita A Buck a Glass Nightly"
533,7,0,"AT",0,0,6,"^souRowN"
534,7,0,"AT",0,0,6,"Dancing Wed Thru Sat"
535,7,0,"AT",0,0,6,"from 9 to closing Patío Open Friday | 4 p.m. to Dusk"
536,8,0,"SH",0,0,0,"Opinion"
537,8,0,"PI",0,0,0,"Pagai"
538,8,0,"PI",0,0,0,"Muatang DaNy Friday, May 11, IMI"
539,8,18,"HL",0,0,0,"Man for the job?"
540,8,18,"TXT",1,0,0,"The man who holds the position of Secretary of the Interior is'charged with both the preservation and development of public lands—roughly one-fifth of all the land in the United ' States, or more than four hundred million acres, most of it in the West and Alaska. He administers mining leases, decides the fate of one billion acres on the outer continental shelf, manages 300 national parks and is charged with preserving endangered species."
541,8,18,"TXT",2,0,0,"Such a man should hold the environment, the natural beauty of our national heritage, above short-term profit and out of the reach of those sections of private industry that have no concept of the value of life, of health, of the true glories of our earth.	^"
542,8,18,"TXT",3,0,0,"Secretary of the Interior James Watt has proven time and again he lacks the empathy with nature to hold this position. Since his appointment, he has:"
543,8,18,"TXT",4,0,0,"—halted expenditure of funds for the acquisition of land for national parks, including parks whose purchase Congress has already authorized."
544,8,18,"TXT",5,0,0,"—fired the entire professional staff of the Council on Environmental Quality, whose function is to see that federal agencies carry out the requirements of the National Environmental Policy Act."
545,8,18,"TXT",6,0,0,"—plans to open up 100 million acres of federal land in Alaska for oil and gas leases by the end of the year,' despite the lack of time to do federally mandated environmental studies."
546,8,18,"TXT",7,0,0,"—has opened up sections of the California coast for oil and ' gàs drilling while ignoring the state's recommendations and pushing aside federal laws protecting rafé species such drilling would endang^^'‘He has also hinted he will allow drilling in marine sanctuaries."
547,8,18,"TXT",8,0,0,"—proposes to make it easier for companies to strip mine without facing the cost of reclaiming the area."
548,8,18,"TXT",9,0,0,"—proposes to legalize “denning"": going into coyote dens and clubbing the cubs to death.	'"
549,8,18,"TXT",10,0,0,"—backs weakening of air- and water-pollution contrpls. —backs weakening of laws forbidding the hunting and importing of rare species."
550,8,18,"TXT",12,0,0,"The people Walt has chosen and endorsed to surround him in Washington damn him as much as his actions:"
551,8,18,"TXT",13,0,0,"— Anne Gorsuch, radically pro-development, to head the Environmental Protection Agency."
552,8,18,"TXT",14,0,0,"—William Coldiron, former general counsel of the Montana Power Co., as solicitor of the Interior Department."
553,8,18,"TXT",15,0,0,"—John Crowell as head,of the Forest Department, the largest public-land manager outside Interior. Crowell is a former lobbyist for one of the country’s largest timber cutters and has frequently denounced the Forest Service and its goal of setting aside forests for wilderness areas."
554,8,18,"TXT",16,0,0,"Actions are usually louder than words, but Watt’s words , sufficiently condemn him:"
555,8,18,"TXT",17,0,0,"We have already protected most of the truly unique lands.	^"
556,8,18,"TXT",18,0,0,"I will err on the side of public versus preservation.”"
557,8,18,"TXT",19,0,0,"What is the real motive of the extreme environmentalists who appear to be determined to accomplish their objective at whatever cost to society? Is it to simply protect the environment? Is it to delay and deny energy development? Is it to weaken America?”"
558,8,18,"TXT",20,0,0,"We will use the budget system to be the excuse to make majSr policy decisions.”"
559,8,18,"TXT",21,0,0,"I’m out to make decisions and I will make them quickly...! make lots of mistakes 'cause I make a lot of decisions.”"
560,8,18,"TXT",22,0,0,"“No other Secretary of the Interior, in recent times at least, has had a president who understands my department like Ronald Reagan does...When I said, ‘I want to do this, I want to do that,’ he replied, ’Sic ’em.’ ”"
561,8,18,"TXT",23,0,0,"We must inventory the land and it doesn’t matter if it's covered with trees, grass or water.”"
562,8,18,"TXT",24,0,0,"We have institutionalized the environmental movement. We have done a good job of that, so these preservationist groups have got to preserve themselves. They must look for a cause.”"
563,8,18,"TXT",25,0,0,"Anyone who thinks environmentalists must actually search out a cause to fìght for, as if there aren’t enough thrown in their faces, clearly should not be Interior Secretary. Moves are underway to get him dismissed by Congress, and petitions are circulating to that effect. Sign one, circulate a few—they are available at ECO—SLO, 985 Palm St., San Luis Obispo."
564,8,18,"TXT",26,0,0,"Watt was in his niche as advisor for the pro-development Mountain States Legal Foundation. Help him find his home, his place in society—send him packing from the Interior Department."
565,0,0,"NA",0,0,0,"lb 'r>^€ vcRy ext^niHcs’oAjsiZAcui"
566,0,0,"NA",0,0,0,"T>cymínunNé,sopnim€Ara>uJeAPoNsMH9r (FOOMetf/^tS"
567,8,0,"CT",0,0,0,"(PRtf^r^SvCK’OG^lNf THeV HAVC f7#?E3>M»53UE5 AT OUR AtRCRArr."
568,8,0,"CT",0,0,0,"f 7H/S	""THr PEAttíf PERILTH/KT"
569,8,0,"CT",0,0,0,". -7?/r5g Missucs pgyr	iyi?Ao.f"
570,0,0,"B",0,0,0,
571,8,0,"SH",0,0,0,"Letters"
572,8,19,"HL",0,0,0,"Active anti-nuclear support needed"
573,8,19,"TXT",1,0,0,"Eklitor:"
574,8,19,"TXT",2,0,0,"Next Tuesday the Atomic Safety and Licensing Board of the Nuclear Regulatory Commission begins what may well be the final hearings on whether Diablo Canyon nuclear power plant should be issu^ a low-power test license. How can the meml^s of the Cal Poly community who are opposed to the licensing effectively express their feelings?"
575,8,19,"TXT",3,0,0,"1.	Sign the petitions circulating on campus and in town which call attention 'to the lack of emergency evacuation plans and emergency medical facilities for the area land, for that matter, as far as is known, for the campusl;"
576,8,19,"TXT",4,0,0,"2.	Be at a special rally next Monday night at the Mission from 7:30 to 8:30;"
577,8,19,"TXT",5,0,0,"3.	Take part in a march next Tuesday morning which will leave from the U.U. Plaza at 8:20 for the Discovery Inn where the hearings will be held (you will be able to be back on campus in time for your 9:30 classesl."
578,8,19,"TXT",6,0,0,"Recently, the NRC has ""proposed regulations that would significantly reduce the public's right to gather information for use at licensing hearings.” The former Chair, Joseph Hendrie, has asked Congress to provide legislation to speed up the licensing process including ""permitting the MRC to authorize/fuelloading and low-power testing of nfw reactors before licensing hearings are completed."" Within the past week the Administration has proposed a new chair for the conunission, thus attempting to fill a vacancy and allowing the entire commission to vote on all matters under its jurisdiction."
579,8,19,"TXT",7,0,0,"Because of the qiecial conditions surrounding Diablo Canyon there will be national news coverage of the hearings and related events. A solid turnout is crucial to the success of the rally and the march. Your active inipport is needed now!	RichaH Kranxdorf"
580,8,19,"BL",8,0,0,"Co-Chair"
581,8,19,"BL",9,0,0,"Concerned Cal Poly Faculty and Staff"
582,8,0,"OT",0,0,0,"Mustang Daily policy"
583,8,0,"OT",0,0,0,"Letters and press releasee may be submitted to the Mu» tang Daily by bringing them to the Mustang office in Room 226 of the Graphic Arts Building, or sending them to Editor, Mustang Daily, GrC 226, Cal Poly, San Luis Obispo, CA 93^7.* Leturs m\ist be ty^. include writers' signatures and telephone numbers."
584,8,0,"OT",0,0,0,"Press releases must be submitted at least a week befors they should be run. All releases must include phone numbers and names of the people or organizations involved, in case further information is needed."
585,8,0,"OT",0,0,0,"Editors reserve the right to limit, condense, rewrite and edit press relMses^ they receive."
586,8,0,"MH",0,0,0,"Mustang Daily"
587,8,0,"MH",0,0,0,"Editor..................Andrew Jowars	General Maneger...........Cecil Roapaw"
588,8,0,"MH",0,0,0,"Managing Editor.........Tom Johnaon	Advertising Manager... Sara Kachadoortan"
589,8,0,"MH",0,0,0,"EdHortal Assistant...Kattwyn McKsnils Asst. Advertising Mgr........Paula Drazak"
590,8,0,"MH",0,0,0,"Editorial Assistant........MIksOarroll Circulation..............‘..Mike Dawson"
591,8,0,"MH",0,0,0,"EdHortal Assistant.......RalphThomas	Printed on eee^tm ty"
592,8,0,"MH",0,0,0,"Sports EdHor............Vsm Ahrsndss	UnNereltf OrapMc Si^iesis"
593,8,0,"MH",0,0,0,"Photo Director............DanStemau PubMtiag Manager..............TammySame"
594,8,0,"MH",0,0,0,"OMCUUMeS; sewrtWiwa maWfWt pi«m»S hwatn MMir tor intorwtottortol purpoM* Suee prtolins to not to to oen. »trwto to to —p toPMd or liwWtoa wiSorputorrt ar itortHcp-Iton ol •uc^ cotrwitorctoi itoniiKW to Ww Joumaham Otowlmani or CoMottmo ^«ifMchtMc Stow Untvoroto. SoirLuto Obtopo PuMtoTtod tour timao a rwaa itoruig irta achooi raar aacapl •rotidaya arto aaton panoda to toa Joumalwm Oapartmant.	CiWamta todytootoVc Stato UntoaraNy. Sto Urto Obtoso. CaNtomto Prtoiad by aliidanM mtoortnt to SrapMe Cato ffluntoottona Optotona aiproaaad to tota Sapar to ats«ad assortoli and anictoa ara toa «ton« al toa aattar and do na« aaoaaianty lapraaani toa optotona al toa alaS or too «oara ot ma Joumaitoffi Oapartwanl nar ometol optoton Unaignad adilartoia rariaet toa mayorlty «la« al toa touatoito OaHy Fdrtortol Seard."
595,8,0,"MH",0,0,0,"*d«ortiamg ralaa on toquaat. MS 1144. or Muaung Daily offica. QrapMc Pda Switdins Soom 2M	at'ihawd «ito Maadar a Dipa«i Fund ana San Frartotoca E •a'rxnaf Sanai.i Fund Vwnbar CaMorma totorcottoomia toaaa Aaaociaiion Mambar o( Aaaoetotad Fraoa"
